UID        PID  PPID  C STIME TTY          TIME CMD
anonymized   9840  9751  0 Oct27 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx9751x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/9751/2
anonymized   9850  9368  0 Oct27 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
anonymized   9855  9368  0 Oct27 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
anonymized   9882  9368  0 Oct27 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
anonymized   9884  9751  0 Oct27 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx9751x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/9751/3
anonymized   9908  9882  0 Oct27 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx9882x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/9882/2
anonymized   9960  9368  0 Oct27 ?        00:00:31 sogou-qimpanel-watchdog
anonymized   9998  9368  0 Oct27 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exec_spaw/0
anonymized  10112  9582  0 Oct27 ?        00:00:05 zeitgeist-datahub
anonymized  10135  9368  0 Oct27 ?        00:00:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
anonymized  10141 10135  0 Oct27 ?        00:00:02 /usr/bin/zeitgeist-daemon
anonymized  10152  9368  0 Oct27 ?        00:00:02 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
anonymized  10504  9582  0 Oct27 ?        00:00:06 update-notifier
anonymized  10644  9582  0 Oct27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
anonymized  10907  9368  0 Oct28 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
anonymized  11277  9368  0 Oct27 ?        00:00:00 SCREEN -S darpa
